campus,trade,crew,p95_weekly_hours,util_m1.0,util_m0.8,util_m0.6
5,B20,4,125.75,0.786,1.048,1.572
5,B30,13,488.02,0.939,1.220,1.525
5,C10,3,85.50,0.713,1.069,1.069
5,C30,4,159.00,0.994,1.325,1.988
5,D20,21,836.69,0.996,1.230,1.609
5,D30,52,2072.87,0.997,1.234,1.672
5,D40,2,61.20,0.765,0.765,1.530
5,D50,8,286.65,0.896,1.194,1.433
5,E10,2,69.00,0.863,0.863,1.725
5,E20,5,174.70,0.873,1.092,1.456
5,MISC,2,67.50,0.844,0.844,1.688
9,B20,2,59.74,0.747,0.747,1.494
9,B30,5,169.00,0.845,1.056,1.408
9,C10,3,84.75,0.706,1.059,1.059
9,C30,6,216.32,0.901,1.082,1.352
9,D10,1,30.19,0.755,0.755,0.755
9,D20,12,476.00,0.992,1.190,1.700
9,D30,28,1083.33,0.967,1.231,1.593
9,D40,9,320.51,0.890,1.145,1.603
9,D50,14,522.69,0.933,1.188,1.633
9,D90,8,287.22,0.898,1.197,1.436
9,E10,6,209.49,0.873,1.047,1.309
9,E20,1,33.32,0.833,0.833,0.833
9,MISC,4,131.66,0.823,1.097,1.646
10,B20,4,124.00,0.775,1.033,1.550
10,B30,2,47.65,0.596,0.596,1.191
10,C10,5,197.70,0.988,1.236,1.647
10,C30,5,166.10,0.831,1.038,1.384
10,D20,18,688.83,0.957,1.230,1.566
10,D30,35,1378.75,0.985,1.231,1.641
10,D40,49,1945.01,0.992,1.247,1.677
10,D50,20,793.39,0.992,1.240,1.653
10,D90,4,145.81,0.911,1.215,1.823
10,E10,5,197.25,0.986,1.233,1.644
10,E20,2,49.30,0.616,0.616,1.232
10,MISC,2,46.97,0.587,0.587,1.174
10,UNK,3,88.72,0.739,1.109,1.109
12,B20,8,314.17,0.982,1.309,1.571
12,B30,6,203.52,0.848,1.018,1.272
12,C10,11,426.65,0.970,1.185,1.524
12,C30,14,540.20,0.965,1.228,1.688
12,D20,29,1149.54,0.991,1.250,1.690
12,D30,42,1672.25,0.995,1.230,1.672
12,D40,8,291.89,0.912,1.216,1.459
12,D50,23,909.27,0.988,1.263,1.624
12,D90,10,397.90,0.995,1.243,1.658
12,E10,8,291.98,0.912,1.217,1.460
12,E20,9,354.23,0.984,1.265,1.771
12,MISC,13,503.46,0.968,1.259,1.573
12,UNK,5,176.01,0.880,1.100,1.467
